,lot_area,alley,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,condition_2,overall_qual,overall_cond,year_remod/add,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,central_air,electrical,gr_liv_area,kitchen_qual,functional,fireplaces,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,fence,saleprice,age,pool,rm_count,bath_count,num_floors,porch_area
0,13517,0,2.0,Lvl,CulDSac,0.0,Sawyer,RRAe,Norm,6,8,1,HdBoard,Plywood,3.0,2.0,CBlock,3.0,3.0,1.0,6.0,1.0,725.0,GasA,1,5.0,1479,3.0,7.0,0,475.0,3.0,3.0,2.0,0,0,130500,34,0,4,2.5,2.0,44
1,11492,0,2.0,Lvl,CulDSac,0.0,SawyerW,Norm,Norm,7,5,1,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,913.0,GasA,1,5.0,2122,3.0,7.0,1,559.0,3.0,3.0,2.0,0,0,220000,13,0,5,3.5,2.0,74
2,7922,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,5,7,1,VinylSd,VinylSd,2.0,3.0,CBlock,3.0,3.0,1.0,6.0,1.0,1057.0,GasA,1,5.0,1057,3.0,7.0,0,246.0,3.0,3.0,2.0,0,0,109000,57,0,4,2.0,1.0,52
3,9802,0,3.0,Lvl,Inside,0.0,Timber,Norm,Norm,5,5,1,VinylSd,VinylSd,2.0,2.0,PConc,4.0,3.0,1.0,1.0,1.0,384.0,GasA,1,5.0,1444,2.0,7.0,0,400.0,3.0,3.0,2.0,100,0,174000,4,0,4,2.5,2.0,0
4,14235,0,2.0,Lvl,Inside,0.0,SawyerW,Norm,Norm,6,8,1,Wd Sdng,Plywood,2.0,2.0,PConc,2.0,4.0,1.0,1.0,1.0,676.0,GasA,1,5.0,1445,2.0,7.0,0,484.0,3.0,3.0,0.0,0,0,138500,110,0,4,2.0,1.5,59
5,16492,0,2.0,Lvl,Corner,0.0,NAmes,PosA,Norm,6,6,1,BrkFace,Plywood,3.0,2.0,CBlock,3.0,3.0,1.0,5.0,3.0,1517.0,GasA,1,5.0,1888,3.0,4.0,1,578.0,3.0,3.0,2.0,0,0,190000,44,0,3,2.5,1.0,0
6,3675,0,3.0,Lvl,Inside,0.0,Edwards,Norm,Norm,6,5,1,VinylSd,VinylSd,2.0,2.0,PConc,4.0,3.0,4.0,6.0,1.0,547.0,GasA,1,5.0,1072,2.0,7.0,0,525.0,3.0,3.0,2.0,0,0,140000,1,0,3,3.0,0.0,44
7,12160,0,2.0,Lvl,Inside,0.0,NAmes,Norm,Norm,5,5,0,Plywood,Plywood,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,1.0,1188.0,GasA,1,5.0,1188,2.0,7.0,0,531.0,3.0,3.0,2.0,0,1,142000,51,0,4,2.0,1.0,0
8,15783,0,3.0,Lvl,Inside,0.0,OldTown,Artery,Norm,5,5,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,1.0,924.0,GasA,1,5.0,924,2.0,7.0,0,420.0,3.0,3.0,2.0,0,1,112500,55,0,3,1.0,1.0,324
9,11606,0,2.0,HLS,Inside,2.0,NAmes,Norm,Norm,5,5,0,Plywood,Plywood,2.0,2.0,PConc,4.0,3.0,3.0,3.0,1.0,1040.0,GasA,1,5.0,2080,1.0,7.0,2,504.0,3.0,3.0,2.0,335,0,135000,38,0,6,2.5,2.0,0
10,1680,0,3.0,Lvl,Inside,0.0,BrDale,Norm,Norm,6,5,0,HdBoard,HdBoard,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,1.0,483.0,GasA,1,5.0,987,2.0,7.0,0,264.0,3.0,3.0,2.0,0,0,85400,37,0,3,1.5,2.0,0
11,7488,0,2.0,Lvl,Inside,0.0,CollgCr,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,3.0,6.0,1.0,1208.0,GasA,1,5.0,1208,3.0,7.0,0,632.0,3.0,3.0,2.0,105,0,183600,1,0,3,2.0,1.0,58
12,26400,0,3.0,Bnk,FR2,0.0,SawyerW,Feedr,Norm,5,7,1,HdBoard,HdBoard,3.0,2.0,PConc,0.0,0.0,0.0,0.0,0.0,0.0,GasA,1,5.0,2016,2.0,4.0,1,576.0,3.0,3.0,1.0,0,0,131000,129,0,5,1.0,2.0,0
13,2645,1,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,8,5,1,MetalSd,MetalSd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,960.0,GasA,1,5.0,1607,3.0,7.0,0,480.0,3.0,3.0,2.0,169,0,200000,9,0,4,3.5,2.0,0
14,9627,0,3.0,Lvl,Inside,0.0,CollgCr,Norm,Norm,7,5,0,VinylSd,VinylSd,3.0,2.0,PConc,4.0,3.0,3.0,6.0,1.0,1351.0,GasA,1,5.0,1361,3.0,7.0,0,610.0,3.0,3.0,2.0,0,0,193000,1,0,4,2.0,1.0,50
15,10114,0,3.0,Lvl,Inside,0.0,Mitchel,Norm,Norm,5,5,1,VinylSd,VinylSd,2.0,2.0,PConc,5.0,3.0,3.0,1.0,1.0,1430.0,GasA,1,5.0,1430,3.0,7.0,0,624.0,3.0,3.0,2.0,0,0,173500,6,0,4,2.0,1.0,0
16,4571,1,3.0,Lvl,Inside,0.0,OldTown,Norm,Norm,5,5,1,AsbShng,AsbShng,2.0,2.0,BrkTil,3.0,3.0,1.0,1.0,1.0,624.0,GasA,0,5.0,1344,2.0,7.0,0,513.0,2.0,2.0,2.0,0,0,98000,92,0,5,1.0,2.0,96
17,8816,0,3.0,Lvl,Corner,0.0,Sawyer,Feedr,Norm,5,6,0,VinylSd,VinylSd,2.0,2.0,PConc,3.0,3.0,1.0,3.0,1.0,1121.0,GasA,1,5.0,1121,2.0,7.0,0,480.0,3.0,3.0,2.0,0,1,139000,46,0,4,2.0,1.0,80
18,8197,0,3.0,Lvl,Inside,0.0,Sawyer,Norm,Norm,6,5,0,Plywood,Plywood,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,1.0,660.0,GasA,1,5.0,1285,2.0,7.0,1,528.0,3.0,3.0,2.0,138,1,143500,30,0,4,1.5,1.0,0
19,8640,0,3.0,Lvl,Inside,0.0,Somerst,Norm,Norm,7,5,0,VinylSd,VinylSd,2.0,2.0,PConc,4.0,3.0,2.0,6.0,1.0,756.0,GasA,1,5.0,1547,3.0,7.0,0,614.0,3.0,3.0,2.0,169,0,215200,1,0,4,2.5,2.0,45
20,8724,0,3.0,Lvl,Inside,0.0,Sawyer,Norm,Norm,5,5,0,VinylSd,VinylSd,2.0,2.0,CBlock,4.0,3.0,1.0,4.0,1.0,894.0,GasA,1,5.0,894,2.0,7.0,1,450.0,3.0,3.0,2.0,0,0,129000,39,0,4,1.0,1.0,0
21,5664,0,2.0,Lvl,Inside,0.0,StoneBr,Norm,Norm,8,5,0,CemntBd,CmentBd,3.0,2.0,PConc,4.0,3.0,1.0,6.0,1.0,1501.0,GasA,1,5.0,1659,4.0,7.0,1,499.0,3.0,3.0,2.0,212,0,278000,9,0,3,3.0,1.0,59
22,12867,0,2.0,Lvl,Corner,0.0,NridgHt,Norm,Norm,8,5,1,CemntBd,CmentBd,3.0,2.0,PConc,5.0,3.0,3.0,1.0,1.0,1209.0,GasA,1,5.0,2253,4.0,7.0,1,575.0,3.0,3.0,2.0,243,0,344133,1,0,4,2.5,2.0,142
23,7980,0,2.0,Lvl,Inside,0.0,Gilbert,Norm,Norm,6,7,1,HdBoard,HdBoard,2.0,3.0,PConc,4.0,3.0,1.0,5.0,1.0,1168.0,GasA,1,5.0,1187,2.0,7.0,0,420.0,3.0,3.0,2.0,483,1,185000,18,0,4,3.0,1.0,21
24,34650,0,3.0,Bnk,Inside,0.0,Gilbert,Norm,Norm,5,5,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,2.0,3.0,1.0,1056.0,GasA,0,5.0,1056,2.0,7.0,0,572.0,3.0,3.0,2.0,264,0,145000,51,0,4,2.0,1.0,0
25,10573,0,2.0,Lvl,Corner,0.0,NAmes,Norm,Norm,6,6,0,MetalSd,MetalSd,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,1.0,1453.0,GasA,1,5.0,1453,2.0,7.0,1,530.0,3.0,3.0,2.0,0,1,187500,48,0,4,3.0,1.0,337
26,8450,0,3.0,Lvl,Inside,0.0,Sawyer,RRAe,Norm,5,8,1,MetalSd,MetalSd,2.0,3.0,CBlock,3.0,3.0,1.0,6.0,4.0,894.0,GasA,1,5.0,894,2.0,7.0,1,336.0,3.0,3.0,2.0,416,1,138500,45,0,4,2.0,1.0,144
27,11700,1,2.0,HLS,Inside,1.0,Crawfor,Norm,Norm,5,6,1,WdShing,Wd Shng,2.0,2.0,CBlock,3.0,3.0,1.0,4.0,1.0,942.0,GasA,1,5.0,1938,3.0,5.0,1,240.0,3.0,3.0,2.0,0,0,198000,71,0,5,2.0,1.5,40
28,8250,0,3.0,Lvl,Inside,0.0,IDOTRR,Feedr,Norm,5,6,1,VinylSd,VinylSd,2.0,3.0,CBlock,3.0,3.0,1.0,1.0,1.0,957.0,GasA,0,5.0,1991,2.0,7.0,0,0.0,0.0,0.0,0.0,0,0,119600,112,0,6,2.0,2.0,133
29,8064,0,3.0,Lvl,Corner,0.0,NAmes,Artery,Norm,5,7,1,MetalSd,MetalSd,2.0,3.0,CBlock,3.0,3.0,2.0,1.0,1.0,672.0,GasA,1,5.0,924,2.0,7.0,1,576.0,3.0,3.0,2.0,0,1,122900,58,0,4,1.0,1.5,0
30,9600,0,3.0,Lvl,Inside,0.0,NWAmes,PosN,Norm,8,5,0,BrkFace,BrkFace,3.0,2.0,PConc,4.0,3.0,1.0,5.0,1.0,2524.0,GasA,1,5.0,2524,3.0,7.0,1,542.0,3.0,3.0,2.0,474,1,278000,28,0,5,3.5,1.0,120
31,11435,0,2.0,HLS,Corner,1.0,Crawfor,Norm,Norm,8,7,1,BrkFace,Stucco,2.0,2.0,PConc,4.0,3.0,1.0,1.0,1.0,792.0,GasA,1,5.0,1517,3.0,7.0,2,400.0,3.0,3.0,2.0,0,0,230000,77,0,4,1.0,2.0,0
32,9549,0,2.0,Lvl,CulDSac,0.0,Veenker,Norm,Norm,8,5,1,BrkFace,BrkFace,3.0,3.0,PConc,4.0,4.0,3.0,2.0,6.0,1494.0,GasA,1,5.0,1494,4.0,7.0,1,481.0,3.0,3.0,2.0,0,0,270000,11,0,3,2.5,1.0,246
33,10950,0,3.0,Lvl,Inside,0.0,NAmes,Norm,Norm,6,6,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,1.0,948.0,GasA,1,5.0,948,2.0,7.0,0,410.0,3.0,3.0,0.0,0,0,125000,55,0,3,1.0,1.0,48
34,10637,0,3.0,Lvl,Inside,0.0,CollgCr,Norm,Norm,8,5,1,VinylSd,VinylSd,3.0,2.0,PConc,5.0,3.0,4.0,6.0,1.0,1705.0,GasA,1,5.0,1718,3.0,7.0,1,826.0,3.0,3.0,2.0,208,0,297000,2,0,4,3.0,1.0,44
35,9000,0,2.0,HLS,Inside,1.0,NAmes,Norm,Norm,6,6,0,Wd Sdng,Wd Sdng,2.0,2.0,CBlock,4.0,3.0,4.0,1.0,1.0,160.0,GasA,1,5.0,1142,2.0,7.0,1,384.0,3.0,3.0,2.0,0,0,113500,51,0,3,1.0,1.0,92
36,2665,0,3.0,Lvl,Inside,0.0,MeadowV,Norm,Norm,5,6,0,CemntBd,CmentBd,2.0,2.0,PConc,3.0,3.0,1.0,5.0,3.0,757.0,GasA,1,5.0,1475,2.0,7.0,1,336.0,3.0,3.0,2.0,104,0,127000,29,0,5,2.0,2.0,26
37,11751,0,2.0,Lvl,Inside,0.0,NWAmes,Norm,Norm,6,6,0,Plywood,Plywood,2.0,2.0,CBlock,4.0,3.0,1.0,4.0,1.0,1844.0,GasA,1,5.0,1844,2.0,7.0,1,546.0,3.0,3.0,2.0,0,1,190000,33,0,4,2.0,1.0,122
38,9600,0,3.0,Lvl,Inside,0.0,NWAmes,Norm,Norm,7,6,0,HdBoard,HdBoard,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,1.0,1242.0,GasA,1,5.0,1242,2.0,7.0,1,528.0,3.0,3.0,2.0,0,0,175500,34,0,4,1.5,1.0,0
39,8428,0,1.0,Lvl,Inside,0.0,CollgCr,Norm,Norm,5,7,0,VinylSd,VinylSd,2.0,3.0,PConc,4.0,4.0,1.0,6.0,1.0,990.0,GasA,1,5.0,990,2.0,7.0,0,384.0,3.0,3.0,2.0,256,0,146000,13,0,4,2.0,1.0,0
40,9937,0,3.0,Lvl,Inside,0.0,Edwards,Norm,Norm,5,6,0,HdBoard,HdBoard,3.0,2.0,CBlock,3.0,3.0,1.0,4.0,2.0,1256.0,GasA,1,5.0,1256,2.0,7.0,0,276.0,3.0,3.0,2.0,736,0,147500,43,0,4,2.5,1.0,68
41,13891,0,3.0,Lvl,Inside,0.0,NridgHt,Norm,Norm,10,5,0,VinylSd,VinylSd,4.0,2.0,PConc,5.0,4.0,4.0,6.0,1.0,2076.0,GasA,1,5.0,2076,4.0,7.0,1,850.0,3.0,3.0,2.0,216,0,465000,0,0,3,3.5,1.0,229
42,9101,0,2.0,Lvl,Corner,0.0,Mitchel,Norm,Norm,5,6,0,Plywood,Plywood,2.0,3.0,PConc,4.0,3.0,3.0,6.0,1.0,1097.0,GasA,1,5.0,1110,3.0,7.0,1,602.0,3.0,3.0,2.0,303,0,165500,31,0,2,2.0,0.0,30
43,12150,1,3.0,Lvl,Inside,0.0,OldTown,Norm,Norm,5,5,0,MetalSd,MetalSd,2.0,2.0,BrkTil,3.0,3.0,1.0,1.0,1.0,1050.0,GasA,0,3.0,1795,2.0,7.0,0,352.0,2.0,3.0,2.0,0,0,131500,54,0,5,2.0,1.5,0
