,date,latitude,longitude,coordinates,block,address_accuracy,num_mosquitos,wnv_present,year,month,day,week,day_of_week,station,tmax,tmin,tavg,depart,dew_point,wet_bulb,sunrise,sunset,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,heat_cool,normal,BR,DZ,FG,HZ,MD,RA,TS,TSRA,VCTS,nearby_spray_locs
0,2013-07-08,41.659112,-87.53869300000002,"(41.659112, -87.538693)",40,8,6,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
1,2013-07-08,41.662014,-87.72460799999998,"(41.662014, -87.724608)",42,8,43,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
2,2013-07-08,41.673408,-87.599862,"(41.673408, -87.599862)",24,10,25,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
3,2013-07-08,41.680946,-87.535198,"(41.680946, -87.535198)",74,16,24,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
4,2013-07-08,41.682587,-87.707973,"(41.682587, -87.707973)",35,9,28,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
5,2013-07-08,41.704336,-87.70373599999998,"(41.704336, -87.703736)",33,8,3,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
6,2013-07-08,41.704572,-87.56566600000002,"(41.704572, -87.565666)",24,8,7,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,0
7,2013-07-08,41.71914,-87.669539,"(41.71914, -87.669539)",192,18,5,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
8,2013-07-08,41.720848,-87.666014,"(41.720848, -87.666014)",34,18,20,0,4026,14,16,56,0,4,174,142,158,8,140,144,848,4000,1.68,58.62,59.9,20.0,44,21.0,-28,150,2,0,0,0,0,2,0,0,0,0
9,2013-07-08,41.723195,-87.64997,"(41.723195, -87.64997)",10,5,10,0,2013,7,8,28,0,2,87,71,79,4,70,72,424,2000,0.84,29.31,29.95,10.0,22,10.5,-14,75,1,0,0,0,0,1,0,0,0,1
10,2013-07-08,41.72646500000001,-87.585413,"(41.726465, -87.585413)",30,15,115,0,6039,21,24,84,0,6,261,213,237,12,210,216,1272,6000,2.52,87.92999999999999,89.85,30.0,66,31.5,-42,225,3,0,0,0,0,3,0,0,0,0
11,2013-07-08,41.728495,-87.60096300000002,"(41.728495, -87.600963)",195,15,115,0,6039,21,24,84,0,6,261,213,237,12,210,216,1272,6000,2.52,87.92999999999999,89.85,30.0,66,31.5,-42,225,3,0,0,0,0,3,0,0,0,0
