station,date,tmax,tmin,tavg,depart,dew_point,wet_bulb,sunrise,sunset,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,heat_cool,normal,year,month,day,week,day_of_week
1,2007-05-01,83,50,67,14,51,56,448,1900,0.0,29.1,29.82,1.7,27,9.2,-2,53,2007,5,1,18,1
2,2007-05-01,84,52,68,13,51,57,448,1900,0.0,29.18,29.82,2.7,25,9.6,-3,55,2007,5,1,18,1
1,2007-05-02,59,42,51,-3,42,47,447,1900,0.0,29.38,30.09,13.0,4,13.4,14,54,2007,5,2,18,2
2,2007-05-02,60,43,52,-4,42,47,447,1900,0.0,29.44,30.08,13.3,2,13.4,13,56,2007,5,2,18,2
1,2007-05-03,66,46,56,2,40,48,446,1900,0.0,29.39,30.12,11.7,7,11.9,9,54,2007,5,3,18,3
2,2007-05-03,67,48,58,2,40,50,446,1900,0.0,29.46,30.12,12.9,6,13.2,7,56,2007,5,3,18,3
1,2007-05-04,66,49,58,4,41,50,444,1900,0.0,29.31,30.05,10.4,8,10.8,7,54,2007,5,4,18,4
2,2007-05-04,78,51,64,8,42,50,444,1900,0.0,29.36,30.04,10.1,7,10.4,1,56,2007,5,4,18,4
1,2007-05-05,66,53,60,5,38,49,443,1900,0.0,29.4,30.1,11.7,7,12.0,5,55,2007,5,5,18,5
2,2007-05-05,66,54,60,3,39,50,443,1900,0.0,29.46,30.09,11.2,7,11.5,5,57,2007,5,5,18,5
1,2007-05-06,68,49,59,4,30,46,442,1900,0.0,29.57,30.29,14.4,11,15.0,6,55,2007,5,6,18,6
2,2007-05-06,68,52,60,3,30,46,442,1900,0.0,29.62,30.28,13.8,10,14.5,5,57,2007,5,6,18,6
1,2007-05-07,83,47,65,10,41,54,441,1900,0.0,29.38,30.12,8.6,18,10.5,0,55,2007,5,7,19,0
2,2007-05-07,84,50,67,10,39,53,441,1900,0.0,29.44,30.12,8.5,17,9.9,-2,57,2007,5,7,19,0
1,2007-05-08,82,54,68,12,58,62,439,1900,0.0,29.29,30.03,2.7,11,5.8,-3,56,2007,5,8,19,1
2,2007-05-08,80,60,70,12,57,63,439,1900,0.0,29.36,30.02,2.5,8,5.4,-5,58,2007,5,8,19,1
1,2007-05-09,77,61,69,13,59,63,438,1900,0.13,29.21,29.94,3.9,9,6.2,-4,56,2007,5,9,19,2
2,2007-05-09,76,63,70,12,60,63,438,1900,0.02,29.28,29.93,3.9,7,5.9,-5,58,2007,5,9,19,2
1,2007-05-10,84,56,70,14,52,60,437,1900,0.0,29.2,29.92,0.7,17,4.1,-5,56,2007,5,10,19,3
2,2007-05-10,83,59,71,13,52,61,437,1900,0.0,29.26,29.91,2.0,9,3.9,-6,58,2007,5,10,19,3
1,2007-05-11,70,51,61,4,42,51,436,1900,0.0,29.33,30.04,11.3,3,12.9,4,57,2007,5,11,19,4
2,2007-05-11,73,49,61,2,44,51,436,1900,0.0,29.39,30.03,11.7,36,12.8,4,59,2007,5,11,19,4
1,2007-05-12,64,46,55,-2,36,46,435,2000,0.0,29.49,30.2,12.4,3,12.9,10,57,2007,5,12,19,5
